run_id,field,observation,action,status
028,IDENTITY,42 при номере экспорта 28,сохранить оба обозначения; проверить лабораторный журнал,unresolved
043,DSC channel,DSC(subtr.3) с неизвестными параметрами вычитания,не трактовать как несмещённый DSC,unresolved
043,segments,экспортирован только S3/4 до 1200 C,не достраивать отсутствующие участки,known
105-108,crucible,Al отличается от Al2O3 в новой серии,не объявлять сопоставимым контролем без проверки,known
107,MATERIAL,SiO2+Fe2O3 при SAMPLE нитрат железа (III),хранить оба поля без правки,unresolved
108,atmosphere,название Air при наличии отдельных газовых каналов,сверить программу и фактическую атмосферу,unresolved
197,history,слово повторный не сообщает независимость приготовления,потребовать лабораторную запись,unresolved
197,segments,15 затем 5 K/min,обрабатывать сегменты отдельно и сохранять порядок точек,known
198,IDENTITY,134 при номере экспорта 198,хранить оба значения и проверить журнал,unresolved
198,MATERIAL,SiO2+Fe2O3 при SAMPLE нитрат железа,не выводить состав из одного поля,unresolved
200-202,salt,форма сульфата и гидратация 202 не установлены,не называть чистым анионным сравнением,unresolved
all,replication,по одному прогону на клетку 2 на 2 в новой серии,не оценивать экспериментальную ошибку по точкам кривой,known
