run_id,n_points,sample_header,material_header,identity_header,sample_mass_mg,crucible_header,program_header,segments_header,dsc_channel,has_mass,source_sha256,raw_sha256,processed_sha256
028,6301,Магнетит - Соосаждение,Fe3O4,42,12.673,DSC/TG pan Al2O3,"20°C/10,0(K/min)/650°C",S1/3,DSC/(mW/mg),False,a36df0e7713e9c5db9395e71c70c24a93d18e1fbaa7a34686157fc299adc2aa0,05f4aa73cbed26700cf65eb18576c692016bf0abd2dd2f516695e830df5b996a,b3431ce9e509a26ef562243c842394211924a95ab5d92a38e7397d4e5ae52f36
043,9000,Магн.-Соос. 0.6 ТЕОС 4ч,Fe3O4,43,8.430,DSC/TG pan Al2O3,"300°C/10,0(K/min)/1200°C",S3/4,DSC(subtr.3)/(mW/mg),False,8e3fbbb464e2cbfdfe5b42fbe4e82582b10c2bfc1a8cfd892dd286eb63920ee9,62f2deefc951f82eea9f5b8738a1925c8511d6bbdbc4ab21a29d14009edafb5e,a3cad8c9d6be15210a0a38173df584684697555083ee84a38ba37f090e60f985
105,5702,M8 - не пропитанная,SiO2,105 - M8 (epsilon),7.388,DSC/TG pan Al,"40°C/10,0(K/min)/550°C/00:00/550°C/",S1-2/2,DSC/(mW/mg),True,2624e4953309f733e35b8a86bfcdcbd0f919359914417409850fe0b6cb41cb0f,f642cd6f957030376d015565ff2bd5ff4717b58f9e5c50786beff8f40b940741,78a4be9a733bf5426c6e8be168241079e9fd2e85e95d0f727197645e81a41499
106,5478,П8 -  пропитанная,SiO2+Fe2O3,106 - П8 (epsilon),8.242,DSC/TG pan Al,"40°C/10,0(K/min)/550°C/00:00/550°C/",S1-2/2,DSC/(mW/mg),True,4c84c1d8d4be9aba8575176ed8b09f90d345e59b8316ca2b95b19eb66bd66664,5efd109a60e105ed826e6cfb83780a44cf68e07b9e4ebbfb5b2deaeb10d47e9a,e6c922eb6cbcce79bd668c2486e8efd33dcff5ad5690d0daa972b7ab85d2b0ee
107,7300,Нитрат железа (III),SiO2+Fe2O3,107,8.61,DSC/TG pan Al,"20°C....450°C/-10,0....10,0K/min",S1-4/4,DSC/(mW/mg),True,ae86fe73a4974adffcb82b5754d459f942358d0c08fab2e8eeaa4e4481d81e27,1ddf2976e525a4f489419d7fb4181b830684f23b32296d5ed20f5b4b6f4e3e30,468b54fc44d8f6da10bafa06c05a166f2b4e7c613a403c7b1fec4a8f23670a4e
108,6901,Матрица М8 - воздух,SiO2+Fe2O3,108,8.275,DSC/TG pan Al,"40°C....450°C/-10,0....10,0K/min",S1-3/3,DSC/(mW/mg),True,fa5033bb9f25e965fc4d6c9a0928bb52044f98504c9fd5703970a4c51b2c3c3d,6ba6cd3de362e031875b7748bd243057e1642937b7f60efcb2f49e962045fb6d,0c7fbd772478bb36238bf721fddc7c19daf284a1c6385e1a3d90ccacf436c520
197,16201,П-1 5К-повторный,SiO2+Fe2O3,197,9.9392,DSC/TG pan Al2O3,"30°C/15,0(K/min)/600°C/5,0(K/min)/1300°C/",S1-2/2,DSC/(mW/mg),True,a4495ccdaff84ecd1e7a9c7589ceafb73b5006ca8694c2f75ec240ef2316a30b,4cd88a40135a70c0e771b5eab1b6f699bcc613461040f3e227af91bd53339ba7,ef63b927d677c3ffc9ff5ecfe22ec1e989017705eb04b42ca0b4b35257322565
198,7800,Нитрат железа,SiO2+Fe2O3,134,18.9962,DSC/TG pan Al2O3,"20°C/15,0(K/min)/800°C",S1/1,DSC/(mW/mg),True,d8ba75e94ad605e362db54ee003bc19229c372a68a223d71ae2ff6dbb162559d,134d5a92b8ad52f8161d7897468b7124988750cf79beccd5b2d82af9df998300,fa36e1cebf249746bb56a6372116682c968db77ffad79d5385e7d55633f5e15b
200,7700,Сульфат Железа (II),Другое,200,20.316,DSC/TG pan Al2O3,"30°C/15,0(K/min)/800°C",S1/1,DSC/(mW/mg),True,d998202925bc9dee5b786788a3cf1b20f22b5e55c376b4f81938fd1167e22aed,0160ac4676a8c9684cad1d37f64b9f49e28ea7aea7d1ddb1a58617fa4997bcae,19b9da9b8901995c319af58f5e1da87a54948ba498d374a8a6189cd8f6b17db6
201,4662,Нитрат железа,Другое,201,19.144,DSC/TG pan Al2O3,"23°C/25,0(K/min)/800°C",S1/1,DSC/(mW/mg),True,1ea5007aa1bfe218e04ead7b13015ce6a4254301627c904d3d53f1b18ced2b51,1602b50362a76b6d90b2340280f3de164731398a71ae18524201a3220d1d241b,46d7c9bc55629b81a09f39810a0b79119f3330d53c7ad0176abe9e0b2e66add1
202,5280,Сульфат железа,Другое,202,18.648,DSC/TG pan Al2O3,"20°C/25,0(K/min)/900°C",S1/1,DSC/(mW/mg),True,600099e2c7dd59a28359b39f63a2b82260c1d8bbfbe1f825d43cf1283b86134e,f8daecafb1780b661c167a797e25bbb57cc742f421644c20e88efb6371287a5e,24323e22a83bec6ca51e04b654dddfb81482ddda0c824dd47b33f913178fa189
