#EXPORTTYPE:DATA SINGLE
#FILE:;sta_028.ngb-ss5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:42
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:Эпсилон-Fe2O3
#DATE/TIME:29.05.2018 14:11
#CORR. FILE:
#TEMPCAL:10 К Al2O3 - тигель N2.ngb-ts5
#SENSITIVITY:10 K Al2О3 - тигель N2.ngb-es5
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:
#SAMPLE:Магнетит - Соосаждение
#SAMPLE MASS /mg:12.673
#MATERIAL:Fe3O4
#REFERENCE:пустой тигель
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:000
#EXO:+1
#RANGE:20°C/10,0(K/min)/650°C
#SEGMENT:S1/3
#SEG. 1:20°C/10,0(K/min)/650°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.14500; 0.00000;-1.834429e-002;1.07971
 25.14900; 0.01000;-1.851163e-002;1.07970
 25.13500; 0.02000;-1.867864e-002;1.07972
 25.13600; 0.03000;-1.862290e-002;1.07972
 25.13600; 0.04000;-1.856714e-002;1.07972
 25.13500; 0.05000;-1.851137e-002;1.07972
 25.13600; 0.06000;-1.851139e-002;1.07972
 25.13800; 0.07000;-1.851143e-002;1.07971
 25.13500; 0.08000;-1.867864e-002;1.07972
 25.15000; 0.09000;-1.873468e-002;1.07970
 25.13200; 0.10000;-1.867858e-002;1.07972
 25.14100; 0.11000;-1.862300e-002;1.07971
 25.14300; 0.12000;-1.851152e-002;1.07971
 25.13700; 0.13000;-1.828838e-002;1.07972
 25.13700; 0.14000;-1.817686e-002;1.07972
 25.13700; 0.15000;-1.834414e-002;1.07972
 25.15500; 0.16000;-1.840023e-002;1.07970
 25.14000; 0.17000;-1.845571e-002;1.07971
 25.13700; 0.18000;-1.839989e-002;1.07972
 25.14700; 0.19000;-1.845584e-002;1.07970
 25.15200; 0.20000;-1.856745e-002;1.07970
 25.14500; 0.21000;-1.862307e-002;1.07971
 25.14500; 0.22000;-1.867883e-002;1.07971
