#EXPORTTYPE:                 ;ALL                                                            
#FILE:;sta_043.ngb-ss5
#FORMAT:                     ;NETZSCH5                                                       
#FTYPE:                      ;ANSI                                                           
#IDENTITY:                   ;43                                                             
#DECIMAL:                    ;COMMA                                                          
#SEPARATOR:                  ;SEMICOLON                                                      
#MTYPE:                      ;DSC                                                            
#MSUBTYPE:                   ;                                                               
#INSTRUMENT:                 ;NETZSCH STA 449F5                                              
#PROJECT:                    ;Эпсилон-Fe2O3                                                  
#DATE/TIME:                  ;30.05.2018 13:48:49 (UTC+3)                                    
#CORR. FILE:                 ;                                                               
#TEMPCAL:                    ;10 К Al2O3 - тигель N2.ngb-ts5                                 
#SENSITIVITY:                ;10 K Al2О3 - тигель N2.ngb-es5                                 
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                                               
#SAMPLE:                     ;Магн.-Соос. 0.6 ТЕОС 4ч                                        
#SAMPLE MASS /mg:            ;8,430                                                          
#MATERIAL:                   ;Fe3O4                                                          
#REFERENCE:                  ;пустой тигель                                                  
#REFERENCE MASS /mg:         ;0                                                              
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                               
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                              
#REFERENCE CRUCIBLE MASS /mg:;0                                                              
#DSC RANGE /µV:              ;5000                                                           
#TG RANGE /mg:               ;35000                                                          
#TAU-R:                      ;---                                                            
#CORR. CODE:                 ;000                                                            
#EXO:                        ;+1                                                             
#RANGE:                      ;300°C/10,0(K/min)/1200°C                                       
#SEGMENT:                    ;S3/4                                                           
#SEG. 3:                     ;300°C/10,0(K/min)/1200°C                                       

#*RESULTS:;File;Segment;Result;Unit;Y_value;Unit;Range_Xmin;Unit;Range_Xmax;Unit;Range_Ymin;Unit;Range_Ymax;Unit

##Temp./°C;Time/min;DSC(subtr.3)/(mW/mg);Sensit./(uV/mW);Segment
 315,71301; 16,20917;       0,41979;0,77613;3
 315,67499; 16,21917;       0,41930;0,77616;3
 315,66101; 16,22917;       0,41848;0,77618;3
 315,62601; 16,23917;       0,41660;0,77620;3
 315,61099; 16,24917;       0,41519;0,77622;3
 315,58301; 16,25917;       0,41460;0,77624;3
 315,55399; 16,26917;       0,41330;0,77626;3
 315,52600; 16,27917;       0,41329;0,77629;3
 315,50400; 16,28917;       0,41142;0,77630;3
 315,49100; 16,29917;       0,41165;0,77631;3
 315,46201; 16,30917;       0,41152;0,77634;3
 315,44199; 16,31917;       0,40964;0,77635;3
 315,43100; 16,32917;       0,40905;0,77636;3
 315,39401; 16,33917;       0,40869;0,77639;3
 315,37299; 16,34917;       0,41043;0,77641;3
 315,35800; 16,35917;       0,40879;0,77642;3
 315,32901; 16,36917;       0,40866;0,77644;3
 315,32001; 16,37917;       0,40714;0,77645;3
 315,30099; 16,38917;       0,40737;0,77647;3
 315,26401; 16,39917;       0,40700;0,77650;3
 315,25299; 16,40917;       0,40793;0,77651;3
 315,22900; 16,41917;       0,40804;0,77653;3
 315,22900; 16,42917;       0,40850;0,77653;3
 315,20700; 16,43917;       0,40675;0,77654;3
 315,17700; 16,44917;       0,40720;0,77657;3
 315,17001; 16,45917;       0,40673;0,77657;3
 315,15900; 16,46917;       0,40696;0,77658;3
 315,12601; 16,47917;       0,40648;0,77661;3
 315,12201; 16,48917;       0,40671;0,77661;3
 315,10501; 16,49917;       0,40775;0,77663;3
 315,08899; 16,50917;       0,40728;0,77664;3
 315,07401; 16,51917;       0,40844;0,77665;3
 315,06299; 16,52917;       0,40820;0,77666;3
 315,05099; 16,53917;       0,40738;0,77667;3
 315,04501; 16,54917;       0,40668;0,77667;3
 315,02899; 16,55917;       0,40853;0,77669;3
 315,01501; 16,56917;       0,40830;0,77670;3
 315,01599; 16,57917;       0,40888;0,77670;3
 315,01199; 16,58917;       0,41051;0,77670;3
 314,99799; 16,59917;       0,41062;0,77671;3
 314,99799; 16,60917;       0,41085;0,77671;3
 314,99399; 16,61917;       0,41108;0,77672;3
 314,97198; 16,62917;       0,41119;0,77673;3
 314,96301; 16,63917;       0,41200;0,77674;3
 314,95599; 16,64917;       0,41340;0,77675;3
 314,95499; 16,65917;       0,41293;0,77675;3
 314,94901; 16,66917;       0,41235;0,77675;3
 314,95200; 16,67917;       0,41328;0,77675;3
 314,94000; 16,68917;       0,41397;0,77676;3
 314,94699; 16,69917;       0,41491;0,77675;3
 314,94901; 16,70917;       0,41689;0,77675;3
 314,95001; 16,71917;       0,41736;0,77675;3
 314,94000; 16,72917;       0,41712;0,77676;3
 314,94400; 16,73917;       0,41782;0,77676;3
