#EXPORTTYPE:                 ;DATA ALL                          
#FILE:;sta_107.ngb-ss5
#FORMAT:                     ;NETZSCH5                          
#FTYPE:                      ;ANSI                              
#IDENTITY:                   ;107                               
#DECIMAL:                    ;COMMA                             
#SEPARATOR:                  ;SEMICOLON                         
#MTYPE:                      ;DSC                               
#INSTRUMENT:                 ;NETZSCH STA 449F5                 
#PROJECT:                    ;Эпсилон Fe2O3 в матрицах          
#DATE/TIME:                  ;15.12.2020 11:00:16 (UTC+3)       
#CORR. FILE:                 ;                                  
#TEMPCAL:                    ;10 K Al - тигель N2 2020.ngb-ts5  
#SENSITIVITY:                ;10 K Al - тигель - 2020.ngb-es5   
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                  
#SAMPLE:                     ;Нитрат железа (III)               
#SAMPLE MASS /mg:            ;8,61                              
#MATERIAL:                   ;SiO2+Fe2O3                        
#REFERENCE:                  ;пустой тигель                     
#REFERENCE MASS /mg:         ;0                                 
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al                     
#SAMPLE CRUCIBLE MASS /mg:   ;51,678                            
#REFERENCE CRUCIBLE MASS /mg:;51,29                             
#DSC RANGE /µV:              ;5000                              
#TG RANGE /mg:               ;35000                             
#TAU-R:                      ;---                               
#CORR. CODE:                 ;000                               
#EXO:                        ;+1                                
#RANGE:                      ;20°C....450°C/-10,0....10,0K/min  
#SEGMENT:                    ;S1-4/4                            
#SEG. 1:                     ;20°C/3,0(K/min)/40°C              
#SEG. 2:                     ;40°C/10,0(K/min)/450°C            
#SEG. 3:                     ;450°C/00:15/450°C                 
#SEG. 4:                     ;450°C/10,0(K/min)/200°C           

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 18,77100; 0,00000;-1,854532e-002;100,00000;50,00000;20,00000;1,17063;1
 18,77500; 0,01667;-1,824251e-002; 99,97320;50,00000;20,00000;1,17063;1
 18,77200; 0,03333;-1,816684e-002; 99,96594;50,00000;20,00000;1,17063;1
 18,78300; 0,05000;-1,831814e-002; 99,95968;50,00000;20,00000;1,17063;1
 18,77400; 0,06667;-1,824252e-002; 99,94871;50,00000;20,00000;1,17063;1
 18,77300; 0,08333;-1,816683e-002; 99,92487;50,00000;20,00000;1,17063;1
 18,78600; 0,10000;-1,862090e-002; 99,91829;50,00000;20,00000;1,17064;1
 18,77900; 0,11667;-1,892373e-002; 99,91527;50,00000;20,00000;1,17063;1
 18,77900; 0,13333;-1,877234e-002; 99,90566;50,00000;20,00000;1,17063;1
 18,78900; 0,15000;-1,846948e-002; 99,89632;50,00000;20,00000;1,17064;1
 18,78900; 0,16667;-1,831809e-002; 99,89400;50,00000;20,00000;1,17064;1
 18,78000; 0,18333;-1,877234e-002; 99,88819;50,00000;20,00000;1,17063;1
 18,78200; 0,20000;-1,816676e-002; 99,88123;50,00000;20,00000;1,17063;1
 18,79100; 0,21667;-1,801530e-002; 99,87542;50,00000;20,00000;1,17064;1
 18,76900; 0,23333;-1,809117e-002; 99,86934;50,00000;20,00000;1,17063;1
 18,78000; 0,25000;-1,839386e-002; 99,86359;50,00000;20,00000;1,17063;1
 18,78400; 0,26667;-1,831814e-002; 99,85621;50,00000;20,00000;1,17063;1
 18,78900; 0,28333;-1,831809e-002; 99,85181;50,00000;20,00000;1,17064;1
 18,80200; 0,30000;-1,854508e-002; 99,84699;50,00000;20,00000;1,17064;1
 18,78600; 0,31667;-1,831812e-002; 99,83655;50,00000;20,00000;1,17064;1
 18,79300; 0,33333;-1,801529e-002; 99,82611;50,00000;20,00000;1,17064;1
 18,77300; 0,35000;-1,809114e-002; 99,81567;50,00000;20,00000;1,17063;1
 18,77200; 0,36667;-1,869671e-002; 99,81220;50,00000;20,00000;1,17063;1
 18,78200; 0,38333;-1,899940e-002; 99,81104;50,00000;20,00000;1,17063;1
 18,77200; 0,40000;-1,892379e-002; 99,80851;50,00000;20,00000;1,17063;1
 18,79000; 0,41667;-1,892364e-002; 99,80417;50,00000;20,00000;1,17064;1
 18,77900; 0,43333;-1,846957e-002; 99,79776;50,00000;20,00000;1,17063;1
 18,78300; 0,45000;-1,884801e-002; 99,79162;50,00000;20,00000;1,17063;1
 18,78800; 0,46667;-1,869658e-002; 99,78396;50,00000;20,00000;1,17064;1
 18,78300; 0,48333;-1,907509e-002; 99,77716;50,00000;20,00000;1,17063;1
 18,80400; 0,50000;-1,892353e-002; 99,77644;50,00000;20,00000;1,17064;1
 18,80800; 0,51667;-1,915058e-002; 99,77291;50,00000;20,00000;1,17065;1
 18,78500; 0,53333;-1,899938e-002; 99,77059;50,00000;20,00000;1,17063;1
 18,79000; 0,55000;-1,922642e-002; 99,76711;50,00000;20,00000;1,17064;1
 18,79400; 0,56667;-1,930208e-002; 99,76331;50,00000;20,00000;1,17064;1
 18,79300; 0,58333;-1,960487e-002; 99,75855;50,00000;20,00000;1,17064;1
 18,80400; 0,60000;-2,021033e-002; 99,75281;50,00000;20,00000;1,17064;1
 18,80000; 0,61667;-1,998328e-002; 99,74650;50,00000;20,00000;1,17064;1
 18,80800; 0,63333;-2,013460e-002; 99,74206;50,00000;20,00000;1,17065;1
 18,80600; 0,65000;-1,983184e-002; 99,73819;50,00000;20,00000;1,17065;1
 18,80800; 0,66667;-2,005891e-002; 99,73275;50,00000;20,00000;1,17065;1
 18,81700; 0,68333;-2,036160e-002; 99,72881;50,00000;20,00000;1,17065;1
 18,82800; 0,70000;-2,081567e-002; 99,72620;50,00000;20,00000;1,17066;1
 18,82200; 0,71667;-2,074003e-002; 99,72518;50,00000;20,00000;1,17065;1
 18,83200; 0,73333;-2,126979e-002; 99,72503;50,00000;20,00000;1,17066;1
 18,82500; 0,75000;-2,134555e-002; 99,72504;50,00000;20,00000;1,17065;1
 18,83100; 0,76667;-2,157257e-002; 99,72486;50,00000;20,00000;1,17066;1
 18,82500; 0,78333;-2,202679e-002; 99,72393;50,00000;20,00000;1,17065;1
 18,83100; 0,80000;-2,195104e-002; 99,72201;50,00000;20,00000;1,17066;1
 18,84700; 0,81667;-2,217796e-002; 99,71985;50,00000;20,00000;1,17067;1
 18,83900; 0,83333;-2,210235e-002; 99,71845;50,00000;20,00000;1,17066;1
 18,85300; 0,85000;-2,240499e-002; 99,71799;50,00000;20,00000;1,17067;1
 18,84500; 0,86667;-2,323768e-002; 99,71652;50,00000;20,00000;1,17066;1
 18,85000; 0,88333;-2,323763e-002; 99,71406;50,00000;20,00000;1,17067;1
 18,85000; 0,90000;-2,331333e-002; 99,71103;50,00000;20,00000;1,17067;1
 18,85300; 0,91667;-2,331330e-002; 99,70519;50,00000;20,00000;1,17067;1
 18,87200; 0,93333;-2,505402e-002; 99,69847;50,00000;20,00000;1,17068;1
 18,86500; 0,95000;-2,422148e-002; 99,69165;50,00000;20,00000;1,17068;1
 18,88200; 0,96667;-2,475114e-002; 99,68491;50,00000;20,00000;1,17068;1
 18,87800; 0,98333;-2,467549e-002; 99,67792;50,00000;20,00000;1,17068;1
 18,88200; 1,00000;-2,505391e-002; 99,67056;50,00000;20,00000;1,17068;1
 18,89200; 1,01667;-2,520519e-002; 99,66321;50,00000;20,00000;1,17069;1
