#EXPORTTYPE:                 ;DATA ALL                                 
#FILE:;sta_108.ngb-ss5
#FORMAT:                     ;NETZSCH5                                 
#FTYPE:                      ;ANSI                                     
#IDENTITY:                   ;108                                      
#DECIMAL:                    ;COMMA                                    
#SEPARATOR:                  ;SEMICOLON                                
#MTYPE:                      ;DSC                                      
#INSTRUMENT:                 ;NETZSCH STA 449F5                        
#PROJECT:                    ;Эпсилон Fe2O3 в матрицах                 
#DATE/TIME:                  ;15.12.2020 12:53:30 (UTC+3)              
#CORR. FILE:                 ;                                         
#TEMPCAL:                    ;10 K Al - тигель N2 2020.ngb-ts5         
#SENSITIVITY:                ;10 K Al - тигель - 2020.ngb-es5          
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                         
#SAMPLE:                     ;Матрица М8 - воздух                      
#SAMPLE MASS /mg:            ;8,275                                    
#MATERIAL:                   ;SiO2+Fe2O3                               
#REFERENCE:                  ;пустой тигель                            
#REFERENCE MASS /mg:         ;0                                        
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al                            
#SAMPLE CRUCIBLE MASS /mg:   ;51,508                                   
#REFERENCE CRUCIBLE MASS /mg:;51,29                                    
#DSC RANGE /µV:              ;5000                                     
#TG RANGE /mg:               ;35000                                    
#TAU-R:                      ;---                                      
#CORR. CODE:                 ;000                                      
#EXO:                        ;+1                                       
#RANGE:                      ;40°C....450°C/-10,0....10,0K/min         
#SEGMENT:                    ;S1-3/3                                   
#SEG. 1:                     ;40°C/10,0(K/min)/450°C                   
#SEG. 2:                     ;450°C/00:15/450°C                        
#SEG. 3:                     ;450°C/10,0(K/min)/200°C                  

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 47,80900; 0,00000; 2,679938e-002; 99,99713;51,00000;20,00000;1,18347;1
 47,80600; 0,01000; 2,734474e-002; 99,99356;51,00000;20,00000;1,18347;1
 47,77400; 0,02000; 2,734502e-002; 99,99119;50,00000;20,00000;1,18345;1
 47,77800; 0,03000; 2,734498e-002; 99,99005;49,00000;20,00000;1,18345;1
 47,77500; 0,04000; 2,742291e-002; 99,98891;50,00000;20,00000;1,18345;1
 47,75500; 0,05000; 2,750100e-002; 99,98777;50,00000;20,00000;1,18345;1
 47,73500; 0,06000; 2,789071e-002; 99,98541;50,00000;20,00000;1,18344;1
 47,73500; 0,07000; 2,828024e-002; 99,98428;49,00000;20,00000;1,18344;1
 47,71700; 0,08000; 2,866994e-002; 99,98315;49,00000;20,00000;1,18343;1
 47,70100; 0,09000; 2,905963e-002; 99,98201;51,00000;20,00000;1,18343;1
 47,69600; 0,10000; 2,929340e-002; 99,98087;50,00000;20,00000;1,18342;1
 47,67500; 0,11000; 2,929360e-002; 99,98093;50,00000;20,00000;1,18342;1
 47,66400; 0,12000; 2,929370e-002; 99,97980;51,00000;20,00000;1,18341;1
 47,65700; 0,13000; 2,952749e-002; 99,97866;50,00000;20,00000;1,18341;1
 47,63100; 0,14000; 2,976146e-002; 99,97753;51,00000;20,00000;1,18340;1
 47,63100; 0,15000; 3,030683e-002; 99,97640;51,00000;20,00000;1,18340;1
 47,62000; 0,16000; 3,077440e-002; 99,97528;49,00000;20,00000;1,18340;1
 47,58400; 0,17000; 3,085266e-002; 99,97293;50,00000;20,00000;1,18338;1
 47,57500; 0,18000; 3,069693e-002; 99,97178;50,00000;20,00000;1,18338;1
 47,56500; 0,19000; 3,085285e-002; 99,97063;50,00000;20,00000;1,18337;1
