#EXPORTTYPE:                 ;DATA ALL                                                             
#FILE:;sta_197.ngb-ss5
#FORMAT:                     ;NETZSCH5                                                             
#FTYPE:                      ;ANSI                                                                 
#IDENTITY:                   ;197                                                                  
#DECIMAL:                    ;COMMA                                                                
#SEPARATOR:                  ;SEMICOLON                                                            
#MTYPE:                      ;DSC                                                                  
#INSTRUMENT:                 ;NETZSCH STA 449F5                                                    
#PROJECT:                    ;Эпсилон                                                              
#DATE/TIME:                  ;05.07.2021 11:23:24 (UTC+3)                                          
#CORR. FILE:                 ;                                                                     
#TEMPCAL:                    ;5 К Al2O3 - тигель N2 - 2021.ngb-ts5                                 
#SENSITIVITY:                ;5 K Al2О3 - тигель N2 - 2021.ngb-es5                                 
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                                                     
#SAMPLE:                     ;П-1 5К-повторный                                                     
#SAMPLE MASS /mg:            ;9,9392                                                               
#MATERIAL:                   ;SiO2+Fe2O3                                                           
#REFERENCE:                  ;пустой тигель                                                        
#REFERENCE MASS /mg:         ;0                                                                    
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                                     
#SAMPLE CRUCIBLE MASS /mg:   ;211,7314                                                             
#REFERENCE CRUCIBLE MASS /mg:;202,414                                                              
#DSC RANGE /µV:              ;5000                                                                 
#TG RANGE /mg:               ;35000                                                                
#TAU-R:                      ;---                                                                  
#CORR. CODE:                 ;000                                                                  
#EXO:                        ;+1                                                                   
#RANGE:                      ;30°C/15,0(K/min)/600°C/5,0(K/min)/1300°C/                            
#SEGMENT:                    ;S1-2/2                                                               
#SEG. 1:                     ;30°C/15,0(K/min)/600°C                                               
#SEG. 2:                     ;600°C/5,0(K/min)/1300°C                                              

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
  28,05600;  0,00000;-4,775329e-002; 99,64726;49,00000;20,00000;0,87766;1
  28,06800;  0,00667;-4,810301e-002; 99,65616;49,00000;20,00000;0,87767;1
  28,07700;  0,01333;-4,836530e-002; 99,65739;49,00000;20,00000;0,87767;1
  28,08100;  0,02000;-4,880256e-002; 99,65891;49,00000;20,00000;0,87767;1
  28,07500;  0,02667;-4,923992e-002; 99,66025;50,00000;20,00000;0,87767;1
  28,08700;  0,03333;-4,976456e-002; 99,66041;50,00000;20,00000;0,87767;1
  28,08700;  0,04000;-4,976456e-002; 99,66207;49,00000;20,00000;0,87767;1
  28,11200;  0,04667;-5,063890e-002; 99,66374;49,00000;20,00000;0,87767;1
  28,11800;  0,05333;-5,090122e-002; 99,66469;50,00000;20,00000;0,87767;1
  28,11300;  0,06000;-5,116364e-002; 99,65736;50,00000;20,00000;0,87767;1
  28,10800;  0,06667;-5,142608e-002; 99,65609;50,00000;20,00000;0,87767;1
  28,13000;  0,07333;-5,160076e-002; 99,65568;50,00000;20,00000;0,87768;1
  28,15100;  0,08000;-5,168800e-002; 99,65513;51,00000;20,00000;0,87768;1
  28,13300;  0,08667;-5,186311e-002; 99,65392;51,00000;20,00000;0,87768;1
  28,14500;  0,09333;-5,273757e-002; 99,65454;49,00000;20,00000;0,87768;1
  28,15100;  0,10000;-5,299988e-002; 99,65459;49,00000;20,00000;0,87768;1
  28,15900;  0,10667;-5,299980e-002; 99,65565;49,00000;20,00000;0,87768;1
  28,18300;  0,11333;-5,299954e-002; 99,65672;50,00000;20,00000;0,87769;1
  28,18600;  0,12000;-5,299950e-002; 99,65677;49,00000;20,00000;0,87769;1
  28,18700;  0,12667;-5,326187e-002; 99,65782;50,00000;20,00000;0,87769;1
  28,20100;  0,13333;-5,378646e-002; 99,65887;49,00000;20,00000;0,87769;1
  28,19800;  0,14000;-5,509836e-002; 99,65992;49,00000;20,00000;0,87769;1
  28,21300;  0,14667;-5,518565e-002; 99,65997;49,00000;20,00000;0,87769;1
