#EXPORTTYPE:                 ;DATA ALL                                          
#FILE:;sta_200.ngb-ss5
#FORMAT:                     ;NETZSCH5                                          
#FTYPE:                      ;ANSI                                              
#IDENTITY:                   ;200                                               
#DECIMAL:                    ;COMMA                                             
#SEPARATOR:                  ;SEMICOLON                                         
#MTYPE:                      ;DSC                                               
#INSTRUMENT:                 ;NETZSCH STA 449F5                                 
#PROJECT:                    ;Эпсилон                                           
#DATE/TIME:                  ;07.10.2021 14:19:41 (UTC+3)                       
#CORR. FILE:                 ;                                                  
#TEMPCAL:                    ;15 К Al2O3 - тигель N2 - 2021.ngb-ts5             
#SENSITIVITY:                ;15 K Al2О3 - тигель N2 - 2021.ngb-es5             
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                                  
#SAMPLE:                     ;Сульфат Железа (II)                               
#SAMPLE MASS /mg:            ;20,316                                            
#MATERIAL:                   ;Другое                                            
#REFERENCE:                  ;пустой тигель                                     
#REFERENCE MASS /mg:         ;0                                                 
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                  
#SAMPLE CRUCIBLE MASS /mg:   ;211,764                                           
#REFERENCE CRUCIBLE MASS /mg:;202,414                                           
#DSC RANGE /µV:              ;5000                                              
#TG RANGE /mg:               ;35000                                             
#TAU-R:                      ;---                                               
#CORR. CODE:                 ;000                                               
#EXO:                        ;+1                                                
#RANGE:                      ;30°C/15,0(K/min)/800°C                            
#SEGMENT:                    ;S1/1                                              
#SEG. 1:                     ;30°C/15,0(K/min)/800°C                            

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 28,08600; 0,00000;-8,676093e-002;99,83006;51,00000;20,00000;0,83711
 28,10400; 0,00667;-8,685026e-002;99,83186;52,00000;20,00000;0,83712
 28,11400; 0,01333;-8,680519e-002;99,83189;51,00000;20,00000;0,83712
 28,11400; 0,02000;-8,680519e-002;99,83241;49,00000;20,00000;0,83712
 28,12900; 0,02667;-8,676001e-002;99,83294;49,00000;20,00000;0,83712
 28,13700; 0,03333;-8,671498e-002;99,83347;50,00000;20,00000;0,83712
 28,17700; 0,04000;-8,671414e-002;99,83401;50,00000;20,00000;0,83713
 28,16400; 0,04667;-8,671440e-002;99,83454;50,00000;20,00000;0,83713
 28,18500; 0,05333;-8,675882e-002;99,83507;50,00000;20,00000;0,83713
 28,19600; 0,06000;-8,680345e-002;99,83560;49,00000;20,00000;0,83714
 28,20600; 0,06667;-8,680324e-002;99,83613;49,00000;20,00000;0,83714
 28,22700; 0,07333;-8,689251e-002;99,83665;49,00000;20,00000;0,83714
 28,23600; 0,08000;-8,684746e-002;99,83665;50,00000;20,00000;0,83714
 28,24900; 0,08667;-8,680233e-002;99,83711;50,00000;20,00000;0,83715
 28,27800; 0,09333;-8,684657e-002;99,83761;50,00000;20,00000;0,83715
 28,28700; 0,10000;-8,689124e-002;99,83814;50,00000;20,00000;0,83715
 28,29800; 0,10667;-8,702558e-002;99,83818;49,00000;20,00000;0,83716
 28,31300; 0,11333;-8,707012e-002;99,83871;49,00000;20,00000;0,83716
 28,32800; 0,12000;-8,702494e-002;99,83923;49,00000;20,00000;0,83716
 28,33300; 0,12667;-8,697998e-002;99,83976;51,00000;20,00000;0,83716
 28,34200; 0,13333;-8,693493e-002;99,84028;51,00000;20,00000;0,83717
 28,34800; 0,14000;-8,693481e-002;99,84031;52,00000;20,00000;0,83717
 28,38100; 0,14667;-8,693411e-002;99,84084;52,00000;20,00000;0,83717
 28,36300; 0,15333;-8,693449e-002;99,84137;49,00000;20,00000;0,83717
 28,39000; 0,16000;-8,688906e-002;99,84190;49,00000;20,00000;0,83718
 28,40400; 0,16667;-8,693362e-002;99,84243;50,00000;20,00000;0,83718
 28,40600; 0,17333;-8,684386e-002;99,84297;50,00000;20,00000;0,83718
 28,44600; 0,18000;-8,670844e-002;99,84350;50,00000;20,00000;0,83719
 28,44900; 0,18667;-8,652895e-002;99,84354;50,00000;20,00000;0,83719
 28,45500; 0,19333;-8,643911e-002;99,84408;51,00000;20,00000;0,83719
 28,46700; 0,20000;-8,652857e-002;99,84461;49,00000;20,00000;0,83719
 28,47900; 0,20667;-8,652832e-002;99,84515;49,00000;20,00000;0,83719
 28,51300; 0,21333;-8,648275e-002;99,84568;50,00000;20,00000;0,83720
 28,51500; 0,22000;-8,661728e-002;99,84622;50,00000;20,00000;0,83720
 28,54500; 0,22667;-8,666150e-002;99,84626;50,00000;20,00000;0,83721
 28,52800; 0,23333;-8,657214e-002;99,84678;50,00000;20,00000;0,83720
 28,55500; 0,24000;-8,652672e-002;99,84731;50,00000;20,00000;0,83721
 28,56000; 0,24667;-8,666118e-002;99,84784;49,00000;20,00000;0,83721
 28,57500; 0,25333;-8,670572e-002;99,84788;49,00000;20,00000;0,83721
 28,59400; 0,26000;-8,666046e-002;99,84842;51,00000;20,00000;0,83722
 28,61400; 0,26667;-8,652548e-002;99,84846;51,00000;20,00000;0,83722
 28,61500; 0,27333;-8,657031e-002;99,84851;52,00000;20,00000;0,83722
 28,63600; 0,28000;-8,656987e-002;99,84855;52,00000;20,00000;0,83723
 28,65700; 0,28667;-8,652458e-002;99,84908;49,00000;20,00000;0,83723
 28,66800; 0,29333;-8,652434e-002;99,84912;49,00000;20,00000;0,83723
 28,66900; 0,30000;-8,638976e-002;99,84915;50,00000;20,00000;0,83723
 28,68400; 0,30667;-8,638944e-002;99,84919;50,00000;20,00000;0,83724
 28,69600; 0,31333;-8,629948e-002;99,84923;51,00000;20,00000;0,83724
 28,70900; 0,32000;-8,620950e-002;99,84927;51,00000;20,00000;0,83724
 28,72300; 0,32667;-8,620921e-002;99,84932;49,00000;20,00000;0,83724
 28,74600; 0,33333;-8,625358e-002;99,84936;49,00000;20,00000;0,83725
 28,76200; 0,34000;-8,625324e-002;99,84940;49,00000;20,00000;0,83725
 28,76500; 0,34667;-8,643260e-002;99,84944;49,00000;20,00000;0,83725
 28,78000; 0,35333;-8,634257e-002;99,84948;50,00000;20,00000;0,83726
 28,80000; 0,36000;-8,634216e-002;99,84951;50,00000;20,00000;0,83726
 28,79800; 0,36667;-8,625249e-002;99,84954;50,00000;20,00000;0,83726
 28,80700; 0,37333;-8,616260e-002;99,84958;50,00000;20,00000;0,83726
 28,82600; 0,38000;-8,616220e-002;99,84962;49,00000;20,00000;0,83726
 28,84500; 0,38667;-8,616180e-002;99,84966;49,00000;20,00000;0,83727
 28,85900; 0,39333;-8,620636e-002;99,84970;51,00000;20,00000;0,83727
 28,85600; 0,40000;-8,611672e-002;99,84973;51,00000;20,00000;0,83727
 28,87500; 0,40667;-8,607147e-002;99,84978;51,00000;20,00000;0,83727
 28,88900; 0,41333;-8,602632e-002;99,84982;51,00000;20,00000;0,83728
 28,91700; 0,42000;-8,593604e-002;99,84986;49,00000;20,00000;0,83728
 28,92300; 0,42667;-8,589106e-002;99,84990;49,00000;20,00000;0,83728
 28,93100; 0,43333;-8,593574e-002;99,85092;51,00000;20,00000;0,83729
 28,94700; 0,44000;-8,606996e-002;99,85195;51,00000;20,00000;0,83729
 28,96100; 0,44667;-8,615937e-002;99,85346;52,00000;20,00000;0,83729
 28,96400; 0,45333;-8,620416e-002;99,85545;52,00000;20,00000;0,83729
 28,98000; 0,46000;-8,624868e-002;99,85688;52,00000;20,00000;0,83730
 29,00500; 0,46667;-8,620331e-002;99,85872;49,00000;20,00000;0,83730
 29,02000; 0,47333;-8,606844e-002;99,86059;49,00000;20,00000;0,83730
 29,03000; 0,48000;-8,615793e-002;99,86206;50,00000;20,00000;0,83731
 29,05100; 0,48667;-8,611264e-002;99,86309;50,00000;20,00000;0,83731
 29,05500; 0,49333;-8,611256e-002;99,86411;50,00000;20,00000;0,83731
 29,08100; 0,50000;-8,611202e-002;99,86464;50,00000;20,00000;0,83732
 29,07900; 0,50667;-8,602237e-002;99,86566;49,00000;20,00000;0,83732
 29,07900; 0,51333;-8,615692e-002;99,86619;51,00000;20,00000;0,83732
 29,11800; 0,52000;-8,629065e-002;99,86619;51,00000;20,00000;0,83732
