#EXPORTTYPE:                 ;DATA ALL                                         
#FILE:;sta_201.ngb-ss5
#FORMAT:                     ;NETZSCH5                                         
#FTYPE:                      ;ANSI                                             
#IDENTITY:                   ;201                                              
#DECIMAL:                    ;COMMA                                            
#SEPARATOR:                  ;SEMICOLON                                        
#MTYPE:                      ;DSC                                              
#INSTRUMENT:                 ;NETZSCH STA 449F5                                
#PROJECT:                    ;Эпсилон                                          
#DATE/TIME:                  ;14.10.2021 14:56:55 (UTC+3)                      
#CORR. FILE:                 ;                                                 
#TEMPCAL:                    ;25 К Al2O3 - тигель N2 - 2021.ngb-ts5            
#SENSITIVITY:                ;25 K Al2О3 - тигель N2 - 2021.ngb-es5            
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                                 
#SAMPLE:                     ;Нитрат железа                                    
#SAMPLE MASS /mg:            ;19,144                                           
#MATERIAL:                   ;Другое                                           
#REFERENCE:                  ;пустой тигель                                    
#REFERENCE MASS /mg:         ;0                                                
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                 
#SAMPLE CRUCIBLE MASS /mg:   ;211,734                                          
#REFERENCE CRUCIBLE MASS /mg:;202,414                                          
#DSC RANGE /µV:              ;5000                                             
#TG RANGE /mg:               ;35000                                            
#TAU-R:                      ;---                                              
#CORR. CODE:                 ;000                                              
#EXO:                        ;+1                                               
#RANGE:                      ;23°C/25,0(K/min)/800°C                           
#SEGMENT:                    ;S1/1                                             
#SEG. 1:                     ;23°C/25,0(K/min)/800°C                           

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 22,00900; 0,00000;-1,136964e-002;100,00043;50,00000;20,00000;0,72908
 21,99500; 0,00667;-1,164303e-002;100,00015;49,00000;20,00000;0,72907
 21,98900; 0,01333;-1,180705e-002; 99,99905;49,00000;20,00000;0,72907
 22,01800; 0,02000;-1,186154e-002; 99,99700;49,00000;20,00000;0,72908
 22,00100; 0,02667;-1,191630e-002; 99,99448;50,00000;20,00000;0,72908
 22,01200; 0,03333;-1,191624e-002; 99,99223;50,00000;20,00000;0,72908
 22,01800; 0,04000;-1,186154e-002; 99,99068;49,00000;20,00000;0,72908
 22,01800; 0,04667;-1,186154e-002; 99,98988;49,00000;20,00000;0,72908
 22,00600; 0,05333;-1,180695e-002; 99,98964;49,00000;20,00000;0,72908
 22,02200; 0,06000;-1,169753e-002; 99,98961;50,00000;20,00000;0,72908
 22,01500; 0,06667;-1,158825e-002; 99,98962;50,00000;20,00000;0,72908
 22,01600; 0,07333;-1,142426e-002; 99,98962;50,00000;20,00000;0,72908
 22,00300; 0,08000;-1,126035e-002; 99,98962;50,00000;20,00000;0,72908
 22,02000; 0,08667;-1,126025e-002; 99,98962;49,00000;20,00000;0,72908
 22,00900; 0,09333;-1,136964e-002; 99,98963;49,00000;20,00000;0,72908
 22,00700; 0,10000;-1,142431e-002; 99,98963;50,00000;20,00000;0,72908
 22,01100; 0,10667;-1,147895e-002; 99,98964;50,00000;20,00000;0,72908
 21,99500; 0,11333;-1,147904e-002; 99,98962;50,00000;20,00000;0,72907
 22,00300; 0,12000;-1,147900e-002; 99,98920;50,00000;20,00000;0,72908
 21,99100; 0,12667;-1,153373e-002; 99,98784;50,00000;20,00000;0,72907
 22,01500; 0,13333;-1,147893e-002; 99,98582;49,00000;20,00000;0,72908
 22,00600; 0,14000;-1,158830e-002; 99,98405;49,00000;20,00000;0,72908
 22,02000; 0,14667;-1,158822e-002; 99,98294;49,00000;20,00000;0,72908
