#EXPORTTYPE:                 ;DATA ALL                                          
#FILE:;sta_202.ngb-ss5
#FORMAT:                     ;NETZSCH5                                          
#FTYPE:                      ;ANSI                                              
#IDENTITY:                   ;202                                               
#DECIMAL:                    ;COMMA                                             
#SEPARATOR:                  ;SEMICOLON                                         
#MTYPE:                      ;DSC                                               
#INSTRUMENT:                 ;NETZSCH STA 449F5                                 
#PROJECT:                    ;Эпсилон                                           
#DATE/TIME:                  ;26.10.2021 13:44:33 (UTC+3)                       
#CORR. FILE:                 ;                                                  
#TEMPCAL:                    ;25 К Al2O3 - тигель N2 - 2021.ngb-ts5             
#SENSITIVITY:                ;25 K Al2О3 - тигель N2 - 2021.ngb-es5             
#LABORATORY:;lab_redacted
#OPERATOR:;operator_redacted
#REMARK:                     ;                                                  
#SAMPLE:                     ;Сульфат железа                                    
#SAMPLE MASS /mg:            ;18,648                                            
#MATERIAL:                   ;Другое                                            
#REFERENCE:                  ;пустой тигель                                     
#REFERENCE MASS /mg:         ;0                                                 
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                  
#SAMPLE CRUCIBLE MASS /mg:   ;211,756                                           
#REFERENCE CRUCIBLE MASS /mg:;202,414                                           
#DSC RANGE /µV:              ;5000                                              
#TG RANGE /mg:               ;35000                                             
#TAU-R:                      ;---                                               
#CORR. CODE:                 ;000                                               
#EXO:                        ;+1                                                
#RANGE:                      ;20°C/25,0(K/min)/900°C                            
#SEGMENT:                    ;S1/1                                              
#SEG. 1:                     ;20°C/25,0(K/min)/900°C                            

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 19,39200; 0,00000;-9,552127e-003;100,00088;49,00000;20,00000;0,72813
 19,37600; 0,00667;-9,720771e-003; 99,97461;50,00000;20,00000;0,72812
 19,37900; 0,01333;-9,720757e-003; 99,95693;50,00000;20,00000;0,72812
 19,37600; 0,02000;-9,608392e-003; 99,94245;50,00000;20,00000;0,72812
 19,37700; 0,02667;-9,608388e-003; 99,92623;49,00000;20,00000;0,72812
 19,38400; 0,03333;-9,495976e-003; 99,91173;49,00000;20,00000;0,72812
 19,36800; 0,04000;-9,439862e-003; 99,89774;51,00000;20,00000;0,72812
 19,38100; 0,04667;-9,552179e-003; 99,88067;51,00000;20,00000;0,72812
 19,39000; 0,05333;-9,495947e-003; 99,86508;52,00000;20,00000;0,72813
 19,37900; 0,06000;-9,383621e-003; 99,84792;50,00000;20,00000;0,72812
 19,38500; 0,06667;-9,383592e-003; 99,83043;49,00000;20,00000;0,72812
 19,38700; 0,07333;-9,439773e-003; 99,81924;49,00000;20,00000;0,72812
 19,38900; 0,08000;-9,495952e-003; 99,80411;50,00000;20,00000;0,72813
 19,39500; 0,08667;-9,664490e-003; 99,79446;50,00000;20,00000;0,72813
 19,37800; 0,09333;-9,833141e-003; 99,77934;51,00000;20,00000;0,72812
 19,38900; 0,10000;-9,833086e-003; 99,77544;51,00000;20,00000;0,72813
 19,39200; 0,10667;-9,776883e-003; 99,76480;49,00000;20,00000;0,72813
 19,39800; 0,11333;-9,608286e-003; 99,75931;49,00000;20,00000;0,72813
 19,39300; 0,12000;-9,552122e-003; 99,75663;50,00000;20,00000;0,72813
 19,39000; 0,12667;-9,495947e-003; 99,75127;50,00000;20,00000;0,72813
 19,38900; 0,13333;-9,439763e-003; 99,74752;50,00000;20,00000;0,72813
 19,37300; 0,14000;-9,439838e-003; 99,73948;50,00000;20,00000;0,72812
 19,38900; 0,14667;-9,439763e-003; 99,73358;50,00000;20,00000;0,72813
 19,39000; 0,15333;-9,495947e-003; 99,73232;49,00000;20,00000;0,72813
 19,38700; 0,16000;-9,495962e-003; 99,73114;49,00000;20,00000;0,72812
 19,37600; 0,16667;-9,496014e-003; 99,72745;51,00000;20,00000;0,72812
 19,39800; 0,17333;-9,439720e-003; 99,72209;50,00000;20,00000;0,72813
 19,39000; 0,18000;-9,439758e-003; 99,71801;50,00000;20,00000;0,72813
 19,39600; 0,18667;-9,552107e-003; 99,71482;49,00000;20,00000;0,72813
 19,39000; 0,19333;-9,552136e-003; 99,71187;49,00000;20,00000;0,72813
 19,39200; 0,20000;-9,495938e-003; 99,70890;50,00000;20,00000;0,72813
 19,39500; 0,20667;-9,383546e-003; 99,70352;50,00000;20,00000;0,72813
 19,39300; 0,21333;-9,608311e-003; 99,69828;52,00000;20,00000;0,72813
 19,39500; 0,22000;-9,776868e-003; 99,69329;52,00000;20,00000;0,72813
 19,39500; 0,22667;-9,889246e-003; 99,69143;49,00000;20,00000;0,72813
 19,41000; 0,23333;-9,664417e-003; 99,68971;49,00000;20,00000;0,72813
 19,39800; 0,24000;-9,552098e-003; 99,68729;49,00000;20,00000;0,72813
 19,39600; 0,24667;-9,495918e-003; 99,68427;50,00000;20,00000;0,72813
 19,41500; 0,25333;-9,552016e-003; 99,68152;50,00000;20,00000;0,72813
 19,40700; 0,26000;-9,552055e-003; 99,67938;50,00000;20,00000;0,72813
 19,39900; 0,26667;-9,495904e-003; 99,67723;50,00000;20,00000;0,72813
 19,39300; 0,27333;-9,495933e-003; 99,67563;49,00000;20,00000;0,72813
 19,41200; 0,28000;-9,608219e-003; 99,67509;49,00000;20,00000;0,72813
 19,39900; 0,28667;-9,495904e-003; 99,67348;51,00000;20,00000;0,72813
 19,40700; 0,29333;-9,439677e-003; 99,67183;50,00000;20,00000;0,72813
 19,40100; 0,30000;-9,383517e-003; 99,66885;50,00000;20,00000;0,72813
 19,40000; 0,30667;-9,495900e-003; 99,66637;50,00000;20,00000;0,72813
 19,40700; 0,31333;-9,552055e-003; 99,66321;49,00000;20,00000;0,72813
 19,40600; 0,32000;-9,664437e-003; 99,66011;49,00000;20,00000;0,72813
 19,41800; 0,32667;-9,776754e-003; 99,65411;51,00000;20,00000;0,72814
 19,40900; 0,33333;-9,720611e-003; 99,64868;51,00000;20,00000;0,72813
 19,42100; 0,34000;-9,720552e-003; 99,64403;51,00000;20,00000;0,72814
 19,41800; 0,34667;-9,832943e-003; 99,63983;51,00000;20,00000;0,72814
 19,42700; 0,35333;-9,945274e-003; 99,63778;49,00000;20,00000;0,72814
 19,42700; 0,36000;-1,005765e-002; 99,63727;49,00000;20,00000;0,72814
 19,42100; 0,36667;-1,011387e-002; 99,63688;50,00000;20,00000;0,72814
