R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
1|1,0.09996,0.1969,1.97,24.88,7.576,3,1|1,0.1,0.5004,5.003,24.83,22.42,3,1|1,0.09995,0.9216,9.22,25.26,5.229,3.01,1|1,0.09989,2.609,26.12,25.43,6.139,3,1|1,0.0999,3.135,31.38,25.54,6.78,6,1|1,0.09992,0.5748,5.752,25.02,12.22,6.01
1|2,10.2,0.7563,0.07415,24.87,10.59,6.009,1|2,10.2,7.123,0.6984,24.83,25.42,6,1|2,10.2,14.03,1.375,25.28,8.229,6.01,1|2,10.2,37.75,3.701,25.41,9.139,6,1|2,10.2,38.39,3.764,25.54,12.78,12,1|2,10.2,6.234,0.6112,25.02,18.21,12
1|3,20.3,0.5891,0.02902,24.89,13.59,9.009,1|3,20.3,9.608,0.4733,24.83,28.42,9,1|3,20.3,18.65,0.9188,25.27,11.22,9,1|3,20.3,54.27,2.674,25.42,12.14,9,1|3,20.3,56.52,2.784,25.55,18.78,18,1|3,20.3,9.132,0.4498,25.02,24.21,18
1|4,30.4,1.248,0.04106,24.89,16.58,12.01,1|4,30.4,12.43,0.4089,24.82,31.42,12,1|4,30.4,22.84,0.7512,25.26,14.22,12,1|4,30.4,68.46,2.252,25.42,15.14,12,1|4,30.4,71.11,2.339,25.55,24.78,24,1|4,30.4,11.45,0.3767,25.02,30.21,24
1|5,40.5,1.233,0.03043,24.88,19.58,15.01,1|5,40.5,14.01,0.3459,24.82,34.42,15,1|5,40.5,27.18,0.6711,25.26,17.22,15,1|5,40.5,81.08,2.002,25.41,18.14,15,1|5,40.5,84.3,2.082,25.55,30.78,30,1|5,40.5,13.58,0.3353,25.02,36.21,30
1|6,50.6,1.842,0.0364,24.88,22.58,18.01,1|6,50.6,16.29,0.3218,24.84,37.42,18,1|6,50.6,31.62,0.6249,25.27,20.22,18,1|6,50.6,92.59,1.83,25.41,21.14,18,1|6,50.6,95.91,1.896,25.55,36.79,36.01,1|6,50.6,15.51,0.3066,25.02,42.21,36
1|7,60.7,2.212,0.03644,24.89,25.58,21.01,1|7,60.7,18.08,0.2979,24.83,40.42,21,1|7,60.7,35.26,0.5809,25.27,23.22,21,1|7,60.7,103.1,1.698,25.42,24.14,21,1|7,60.7,106.3,1.751,25.55,42.79,42.01,1|7,60.7,17.44,0.2873,25.02,48.21,42
1|8,70.8,2.3,0.03249,24.88,28.58,24.01,1|8,70.8,19.96,0.2819,24.84,43.42,24,1|8,70.8,38.86,0.5488,25.27,26.22,24,1|8,70.8,112.7,1.592,25.42,27.14,24,1|8,70.8,116,1.639,25.55,48.79,48.01,1|8,70.8,19.17,0.2707,25.02,54.21,48
1|9,80.9,2.456,0.03036,24.89,31.58,27.01,1|9,80.9,21.77,0.2691,24.84,46.42,27,1|9,80.9,42.06,0.5199,25.27,29.22,27,1|9,80.9,121.7,1.504,25.41,30.14,27,1|9,80.9,124.8,1.543,25.54,54.79,54.01,1|9,80.9,20.81,0.2572,25.02,60.21,54
1|10,91,2.527,0.02777,24.89,34.58,30.01,1|10,91,23.34,0.2564,24.83,49.42,30,1|10,91,44.92,0.4936,25.28,32.22,30,1|10,91,129.9,1.427,25.41,33.14,30,1|10,91,133,1.462,25.55,60.79,60.01,1|10,91,22.51,0.2473,25.03,66.22,60.01
