sample_id,image_id,particle_no,size_nm,source_cell,import_note
V01,Снимок 1,1,13.66,Вариант 1!A2,
V01,Снимок 1,2,11.06,Вариант 1!A3,
V01,Снимок 1,3,8.51,Вариант 1!A4,
V01,Снимок 1,4,13.54,Вариант 1!A5,
V01,Снимок 1,5,7.97,Вариант 1!A6,
V01,Снимок 1,6,10.92,Вариант 1!A7,
V01,Снимок 1,7,12.87,Вариант 1!A8,
V01,Снимок 1,8,13.13,Вариант 1!A9,
V01,Снимок 1,9,14.47,Вариант 1!A10,
V01,Снимок 1,10,13.01,Вариант 1!A11,
V01,Снимок 1,11,16.12,Вариант 1!A12,
V01,Снимок 1,12,11.96,Вариант 1!A13,
V01,Снимок 1,13,13.13,Вариант 1!A14,
V01,Снимок 1,14,14.53,Вариант 1!A15,
V01,Снимок 1,15,11.55,Вариант 1!A16,
V01,Снимок 1,16,7.91,Вариант 1!A17,
V01,Снимок 1,17,12.03,Вариант 1!A18,
V01,Снимок 1,18,10.68,Вариант 1!A19,
V01,Снимок 1,19,10.96,Вариант 1!A20,
V01,Снимок 1,20,15.9,Вариант 1!A21,
V01,Снимок 1,21,13,Вариант 1!A22,
V01,Снимок 1,22,12.56,Вариант 1!A23,
V01,Снимок 1,23,9.95,Вариант 1!A24,
V01,Снимок 1,24,18.49,Вариант 1!A25,
V01,Снимок 1,25,10.22,Вариант 1!A26,
V01,Снимок 1,26,10.28,Вариант 1!A27,
V01,Снимок 1,27,11.59,Вариант 1!A28,
V01,Снимок 1,28,8.31,Вариант 1!A29,
V01,Снимок 1,29,17.34,Вариант 1!A30,
V01,Снимок 1,30,13.88,Вариант 1!A31,
V01,Снимок 1,31,14.8,Вариант 1!A32,
V01,Снимок 1,32,11.7,Вариант 1!A33,
V01,Снимок 1,33,13.66,Вариант 1!A34,
V01,Снимок 1,34,10.07,Вариант 1!A35,
V01,Снимок 1,35,9.58,Вариант 1!A36,
V01,Снимок 1,36,16.59,Вариант 1!A37,
V01,Снимок 1,37,9.72,Вариант 1!A38,
V01,Снимок 1,38,13.1,Вариант 1!A39,
V01,Снимок 1,39,12.75,Вариант 1!A40,
V01,Снимок 1,40,16.78,Вариант 1!A41,
V01,Снимок 1,41,8.45,Вариант 1!A42,
V01,Снимок 1,42,10.49,Вариант 1!A43,
V01,Снимок 1,43,9.9,Вариант 1!A44,
V01,Снимок 1,44,14.52,Вариант 1!A45,
V01,Снимок 1,45,13.3,Вариант 1!A46,
V01,Снимок 1,46,12.94,Вариант 1!A47,
V01,Снимок 1,47,12.81,Вариант 1!A48,
V01,Снимок 1,48,12.15,Вариант 1!A49,
V01,Снимок 1,49,8.75,Вариант 1!A50,
V01,Снимок 1,50,12.25,Вариант 1!A51,
V01,Снимок 1,51,8.89,Вариант 1!A52,
V01,Снимок 1,52,15,Вариант 1!A53,
V01,Снимок 1,53,8.24,Вариант 1!A54,
V01,Снимок 1,54,12.85,Вариант 1!A55,
V01,Снимок 1,55,12.96,Вариант 1!A56,
V01,Снимок 1,56,18.68,Вариант 1!A57,
V01,Снимок 1,57,13.74,Вариант 1!A58,
V01,Снимок 1,58,9.8,Вариант 1!A59,
V01,Снимок 1,59,15.07,Вариант 1!A60,
V01,Снимок 1,60,11.56,Вариант 1!A61,
V01,Снимок 1,61,8.74,Вариант 1!A62,
V01,Снимок 1,62,8.88,Вариант 1!A63,
V01,Снимок 1,63,12.26,Вариант 1!A64,
V01,Снимок 1,64,7.43,Вариант 1!A65,
V01,Снимок 1,65,12.95,Вариант 1!A66,
V01,Снимок 1,66,9.65,Вариант 1!A67,
V01,Снимок 1,67,15.83,Вариант 1!A68,
V01,Снимок 1,68,9.06,Вариант 1!A69,
V01,Снимок 1,69,8.81,Вариант 1!A70,
V01,Снимок 1,70,12.92,Вариант 1!A71,
V01,Снимок 1,71,10.04,Вариант 1!A72,
V01,Снимок 1,72,29.71,Вариант 1!A73,
V01,Снимок 1,73,9.41,Вариант 1!A74,
V01,Снимок 1,74,14.93,Вариант 1!A75,
V01,Снимок 1,75,12.7,Вариант 1!A76,
V01,Снимок 1,76,18.42,Вариант 1!A77,
V01,Снимок 1,77,14.33,Вариант 1!A78,
V01,Снимок 1,78,16.53,Вариант 1!A79,
V01,Снимок 1,79,9.93,Вариант 1!A80,
V01,Снимок 1,80,14.02,Вариант 1!A81,
V01,Снимок 1,81,16.75,Вариант 1!A82,
V01,Снимок 1,82,11.47,Вариант 1!A83,
V01,Снимок 1,83,16.47,Вариант 1!A84,
V01,Снимок 1,84,12.06,Вариант 1!A85,
V01,Снимок 1,85,10.15,Вариант 1!A86,
V01,Снимок 1,86,6.31,Вариант 1!A87,
V01,Снимок 1,87,6.55,Вариант 1!A88,
V01,Снимок 1,88,12.06,Вариант 1!A89,
V01,Снимок 1,89,14.83,Вариант 1!A90,
V01,Снимок 1,90,13.28,Вариант 1!A91,
V01,Снимок 1,91,16.23,Вариант 1!A92,
V01,Снимок 1,92,12.75,Вариант 1!A93,
V01,Снимок 1,93,8.62,Вариант 1!A94,
V01,Снимок 1,94,15.04,Вариант 1!A95,
V01,Снимок 1,95,6.76,Вариант 1!A96,
V01,Снимок 1,96,8.06,Вариант 1!A97,
V01,Снимок 1,97,9.65,Вариант 1!A98,
V01,Снимок 1,98,8.98,Вариант 1!A99,
V01,Снимок 1,99,13.49,Вариант 1!A100,
V01,Снимок 1,100,12.13,Вариант 1!A101,
V01,Снимок 1,101,11.92,Вариант 1!A102,
V01,Снимок 1,102,8.98,Вариант 1!A103,
V01,Снимок 1,103,15.83,Вариант 1!A104,
V01,Снимок 1,104,10.96,Вариант 1!A105,
V01,Снимок 1,105,11.73,Вариант 1!A106,
V01,Снимок 1,106,9.6,Вариант 1!A107,
V01,Снимок 1,107,7.4,Вариант 1!A108,
V01,Снимок 1,108,8.59,Вариант 1!A109,
V01,Снимок 1,109,6.7,Вариант 1!A110,
V01,Снимок 1,110,13.4,Вариант 1!A111,
V01,Снимок 1,111,7.55,Вариант 1!A112,
V01,Снимок 1,112,12.75,Вариант 1!A113,
V01,Снимок 1,113,11.02,Вариант 1!A114,
V01,Снимок 1,114,6.28,Вариант 1!A115,
V01,Снимок 1,115,11.58,Вариант 1!A116,
V01,Снимок 1,116,6.49,Вариант 1!A117,
V01,Снимок 1,117,9.23,Вариант 1!A118,
V01,Снимок 1,118,11.41,Вариант 1!A119,
V01,Снимок 1,119,14.33,Вариант 1!A120,
V01,Снимок 1,120,14.42,Вариант 1!A121,
V01,Снимок 1,121,13.38,Вариант 1!A122,
V01,Снимок 1,122,13.94,Вариант 1!A123,
V01,Снимок 1,123,10.08,Вариант 1!A124,
V01,Снимок 1,124,11.5,Вариант 1!A125,
