batch_id,phase,scale_l,recipe_version,raw_lot,size_mean_nm,temp_sensor_status
B101,baseline,20,R2,L1,115.5,ok
B102,baseline,20,R2,L1,116.4,ok
B103,baseline,20,R2,L1,114.7,ok
B104,baseline,20,R2,L1,116.8,ok
B105,baseline,20,R2,L1,117.1,ok
B106,baseline,20,R2,L1,115.2,ok
B107,baseline,20,R2,L1,116.2,ok
B108,baseline,20,R2,L1,114.9,ok
B109,baseline,20,R2,L1,117.3,ok
B110,baseline,20,R2,L1,116.5,ok
B111,baseline,20,R2,L1,115.8,ok
B112,baseline,20,R2,L1,116.0,ok
B113,baseline,20,R2,L1,115.3,ok
B114,baseline,20,R2,L1,117.4,ok
B115,baseline,20,R2,L1,116.7,ok
B116,baseline,20,R2,L1,114.8,ok
B117,baseline,20,R2,L1,116.3,ok
B118,baseline,20,R2,L1,115.6,ok
B119,baseline,20,R2,L1,117.0,ok
B120,baseline,20,R2,L1,115.7,ok
B121,monitoring,20,R2,L1,116.8,ok
B122,monitoring,20,R2,L2,117.4,ok
B123,monitoring,20,R2,L2,118.2,ok
B124,monitoring,20,R2,L2,118.4,ok
B125,monitoring,20,R2,L2,119.0,gap
B126,monitoring,20,R2,L2,119.6,ok
B127,monitoring,20,R2,L2,120.5,replaced
B128,monitoring,20,R2,L2,121.4,ok
B129,monitoring,20,R2,L2,122.3,ok
B130,monitoring,20,R2,L2,123.1,ok
