source_row,fe3_fe2_ratio,fe_total_mol_l,koh_mol_l,diameter_nm,size_sd_nm
1,0.33,0.04,0.05,19.4,9.3
2,0.33,0.04,0.2,20.6,10.6
3,0.33,0.16,0.05,19.8,9.3
4,0.33,0.16,0.2,25.3,14.5
5,1.00,0.04,0.05,11.9,4.4
6,1.00,0.04,0.2,11.7,3.4
7,1.00,0.16,0.05,15.6,6.3
8,1.00,0.16,0.2,15.2,5.6
9,"0,",0.08,0.1,17.2,7.3
10,0.67,0.08,0.1,14.8,5.7
11,1.00,0.08,0.1,14.2,3.8
12,1.33,0.08,0.1,14.4,3.5
13,2.00,0.08,0.1,11.9,2.8
14,0.67,0.01,0.1,12.6,3.7
15,0.67,0.04,0.1,13.5,2.8
16,0.67,0.16,0.1,16.3,8.5
17,0.67,0.32,0.1,16.6,7.1
18,0.67,0.08,0.013,12.2,6.7
19,0.67,0.08,0.025,,
20,0.67,0.08,0.050,15.3,4.1
21,0.67,0.08,0.200,16.1,4.0
