source_row,speed_mm_s,energy_nJ,polarization,direction,etch_min,channel_um
1,0.02,0.1,↔,→,30,1
2,0.02,0.1,↔,←,30,3
3,0.02,0.1,↕,→,30,3
4,0.02,0.1,↕,←,30,4
5,0.02,0.2,↔,→,30,28
6,0.02,0.2,↔,←,30,18
7,0.02,0.2,↕,→,30,22
8,0.02,0.2,↕,←,30,14
9,0.02,0.4,↔,→,30,21
10,0.02,0.4,↔,←,30,25
11,0.02,0.4,↕,→,30,30
12,0.02,0.4,↕,←,30,30
13,0.02,0.8,↔,→,30,77
14,0.02,0.8,↔,←,30,93
15,0.02,0.8,↕,→,30,87
16,0.02,0.8,↕,←,30,92
17,0.2,0.1,↔,→,30,4
18,0.2,0.1,↔,←,30,4
19,0.2,0.1,↕,→,30,4
20,0.2,0.1,↕,←,30,5
21,0.2,0.2,↔,→,30,7
22,0.2,0.2,↔,←,30,7
23,0.2,0.2,↕,→,30,7
24,0.2,0.2,↕,←,30,7
25,0.2,0.4,↔,→,30,63
26,0.2,0.4,↔,←,30,35
27,0.2,0.4,↕,→,30,50
28,0.2,0.4,↕,←,30,58
29,0.2,0.8,↔,→,30,78
30,0.2,0.8,↔,←,30,90
31,0.2,0.8,↕,→,30,78
32,0.2,0.8,↕,←,30,78
33,2,0.1,↔,→,30,6
34,2,0.1,↔,←,30,13
35,2,0.1,↕,→,30,12
36,2,0.1,↕,←,30,14
37,2,0.2,↔,→,30,24
38,2,0.2,↔,←,30,22
39,2,0.2,↕,→,30,28
40,2,0.2,↕,←,30,25
