source_row,ammonia_ml,water_ml,teos_ml,temperature_C,solvent,diameter_nm,size_sd_nm
1,5,5,15,40,Этиловый,56,5
2,10,5,15,40,Этиловый,229,9
3,15,5,15,40,Этиловый,347,14
4,20,5,15,40,Этиловый,663,41
5,10,0,15,40,Этиловый,91,10
6,10,10,15,40,Этиловый,242,18
7,10,20,15,40,Этиловый,289,18
8,10,5,5,40,Этиловый,122,9
9,10,5,10,40,Этиловый,165,9
10,10,5,20,40,Этиловый,228,12
11,10,5,15,20,Этиловый,161,62
12,10,5,15,60,Этиловый,92,11
13,10,5,15,80,Этиловый,60,14
14,5,20,5,50,Изопропиловый,107,4
15,20,20,5,50,Изопропиловый,552,100
16,20,0,5,50,Изопропиловый,166,63
17,15,13,20,50,Этиловый,289,80
18,9,10,12,50,Этиловый,72,41
19,20,0,20,50,Изопропиловый,56,32
20,5,20,20,50,Изопропиловый,23,23
21,5,0,10,50,Изопропиловый,,
22,12,10,16,50,Изопропиловый,87,89
23,20,20,5,50,Этиловый,325,9
