source_row,cosurfactant_level,w_water_to_surfactant,kerosene_droplet_nm,nonkerosene_droplet_nm
1,0,10,6.82,3.00
2,0,12.5,7.55,
3,0,15,7.97,3.20
4,0,17.5,8.61,
5,0,20,9.74,3.90
6,0,25,,4.40
7,0.05,4,5.86,
8,0.05,5.5,5.96,
9,0.05,7,6.12,
10,0.05,10,6.32,
11,0.05,15,6.51,
12,0.05,20,6.84,
13,0.05,25,7.34,
14,0.1,4,5.64,
15,0.1,5,5.89,
16,0.1,6,6.17,
17,0.1,7,6.21,
18,0.1,10,7.60,3.80
19,0.1,15,11.30,4.20
20,0.1,20,14.37,4.20
21,0.1,25,16.60,4.40
22,0.15,10,8.02,
23,0.15,15,11.90,
24,0.15,20,15.12,
25,0.15,25,19.97,
26,0.2,4,5.86,
27,0.2,5.5,6.09,
28,0.2,7,6.97,
29,0.2,10,8.96,4.60
30,0.2,15,13.82,5.70
31,0.2,20,18.96,6.10
32,0.2,25,21.85,6.50
33,0.3,10,,5.00
34,0.3,15,,6.60
35,0.3,20,,7.60
36,0.3,25,,8.90
