source_row,measurement_order,aging_h,ultrasound_min,hybrid_mass_pct,hydrocarbon,surfactant,droplet_um,response_raw
1,2,0,45,0.01,Декалин,PAA,1.75,1.75 = y1
2,7,0,90,0.05,Толуол,GA,1.82,1.82 = y2
3,1,0,135,0.1,Циклогексан,SDS,0.90,0.90 = y3
4,16,0,180,0.15,Гептан,отсутствует,1.40,1.40 = y4
5,4,24,45,0.05,Циклогексан,отсутствует,1.70,1.70 = y5
6,10,24,90,0.01,Гептан,SDS,1.00,1.00 = y6
7,5,24,135,0.15,Декалин,GA,0.80,"(0.89, 0.76, 0.83, 0.86) 0.80 = y7"
8,6,24,180,0.1,Толуол,PAA,2.40,2.40 = y8
9,8,48,45,0.1,Гептан,GA,1.89,1.89 = y9
10,11,48,90,0.15,Циклогексан,PAA,1.56,1.56 = y10
11,15,48,135,0.01,Толуол,отсутствует,2.08,2.08 = y11
12,3,48,180,0.05,Декалин,SDS,0.85,0.85 = y12
13,13,72,45,0.15,Толуол,SDS,1.10,1.10 = y13
14,14,72,90,0.1,Декалин,отсутствует,0.95,0.95 = y14
15,9,72,135,0.05,Гептан,PAA,2.10,2.10 = y15
16,12,72,180,0.01,Циклогексан,GA,1.60,1.60 = y16
